requirement,responsibility,from,to
"Готовность изучать новое и погружаться в большие проекты. Уверенное знание <highlighttext>Python</highlighttext>, Django или FastAPI. Уверенное знание PostgresSQL. Знание принципов организации...","Готовность изучать новое и погружаться в большие проекты. Уверенное знание <highlighttext>Python</highlighttext>, Django или FastAPI. Уверенное знание PostgresSQL. Знание принципов организации...",100000.0,100000.0
"Глубокие знания <highlighttext>Python</highlighttext>, включая современные подходы к написанию и поддержке кода. - Опыт работы с библиотеками и фреймворками для машинного обучения...","Определение платформы и реализация скрипта взаимодействия с системой, используя наш веб-шлюз и серверные мощности. - Разработка авторизационной панели для работы...",500000.0,1000000.0
"Знание Javascript, HTML, CSS - обязательно. VueJS, <highlighttext>Python</highlighttext>, PHP, ArcGIS, QGIS, SQL - желательно.","Знание Javascript, HTML, CSS - обязательно. VueJS, <highlighttext>Python</highlighttext>, PHP, ArcGIS, QGIS, SQL - желательно.",50000.0,50000.0
"Будет плюсом: - Опыт написания/взаимодействия с микросервисной архитектурой (FastAPI). - Написание автотестов (pytest, unittest). - Знание параллельности/асинхронности в <highlighttext>Python</highlighttext>. - ",Разработка и развитие автоматизированных проверок для веб-сайтов. Разработка скриптов для автоматизации различных процессов в отделе. Поддержка Legacy-кода. ,70000.0,100000.0
"Высшее профессиональное образование в геологической сфере. Опыт работы в специализированных организациях от 3 лет. Владение специализированными программами (QGIS, ArcGIS). ","Ведение базы данных показателей состояния подземных вод и опасных геологических процессов (PostgreSQL). Анализ данных мониторинга (статистический, пространственный) подземных вод и...",130000.0,150000.0
"Опыт работы с Google Sheets, 1С8 и знания основ программирования на <highlighttext>Python</highlighttext> будет вашим преимуществом. Вы умеете работать...","Сбор данных из разных источников, их обработка, систематизация и подготовка под необходимый формат. Управление качеством входящих данных. Создание, поддержание и...",75000.0,80000.0
...<highlighttext>python</highlighttext>3. - Уверенное владение хотя бы одним из известных веб-фреймворков - django/flask/starlette-fastapi. - Знакомство с современным инструментами <highlighttext>python</highlighttext>...,"Проект с которым предстоит работать: Платформа для реализации FinTech - сервисов. - Разрабатывать микросервисы по согласованной архитектуре, на основании технического задания. - ",120000.0,120000.0
"Базовые знания обработки данных с использованием библиотек, таких как pandas и NumPy. Умение работать с SQL для извлечения данных. ",Очистка и предварительная обработка сырых наборов данных для моделей машинного обучения. Проведение разведывательного анализа данных (EDA) и создание визуальных отчетов. ,600.0,600.0
"уверенное использование <highlighttext>python</highlighttext> 3.x, asyncio. - умение работать с реляционными базами данных (mysql/postgresql), nosql, очередями (rabbitmq), знание базовых конструкций...","Backend разработка. - Реализация бизнес-логики. - Взаимодействие с командой. - Анализ и оценка требований. - Рефакторинг, ревью кода. - Документирование кода. - Решение нестандартных задач...",60000.0,100000.0
"Будет преимуществом, если вы: Имеете опыт работы на позиции manual QA Знаете основы языка <highlighttext>Python</highlighttext> Работали с Jira Знакомы с...",Работа над продуктом с показателем NPS более 90%. Регулярные отпуска для предотвращения выгорания. Интересное общение с владельцами бизнесов и ключевыми...,1000.0,1000.0
"Опыт работы с облачными системами управления (инструментарий, провиженинг, биллинг и квоты). Сценарное программирование (Bash, <highlighttext>Python</highlighttext>, Gotemplate). Опыт автоматизации развертывания инфраструктуры...",Проектирование архитектуры и сервисов для B2C и B2B приложений. Обеспечение отказоустойчивости разрабатываемых сервисов в среде Digital...,900000.0,1200000.0
"Знание основ программирования. Знания любого языка программирования (JavaScript, PHP, <highlighttext>Python</highlighttext>, C#, Java, C, C++ и др). Писать код, понимать основные...","Разработка, развитие и поддержка Аналитической системы.",100000.0,150000.0
"Релевантный опыт работы от 3-х лет в должности Head of FP&A, фин. директор функции/бренда. Опыт работы в...",Анализ данных при помощи инструментов программирования (SQL <highlighttext>Python</highlighttext>). Автоматизация процессов сбора и обработки данных для составления аналитических и статистических отчетов. ,400000.0,400000.0
"CI/CD: Опыт работы с инструментами непрерывной интеграции и доставки. Другие языки: Знание других языков программирования, таких как <highlighttext>Python</highlighttext> или...","CI/CD: Опыт работы с инструментами непрерывной интеграции и доставки. Другие языки: Знание других языков программирования, таких как <highlighttext>Python</highlighttext> или...",75000.0,75000.0
"PHP (""1С-Битрикс"", Wordpress, Laravel). <highlighttext>Python</highlighttext>. MySQL. Gitlab. Jira. PhpStorm.",Разработка крупных сложных сайтов или заказного веб-ориентированного программного обеспечения. Разработка нагруженного сайта или оптимизация скорости работы существующего. ,53000.0,155000.0
...с системами контроля версий (git). Опыт разработки на одноплатных компьютерах. Опыт использования фреймворка Qt. Опыт разработки под Linux. Знание <highlighttext>Python</highlighttext>.,"Разработка нового, сопровождение и модернизация существующего программного обеспечения. Разрабатывать алгоритмы решения поставленных задач в соответствии с требованиями. Составление документации для...",100000.0,120000.0
"Vue, React. Приветствуется: Любой опыт с AWS, DigitalOcean или OpenStack.","Vue, React. Приветствуется: Любой опыт с AWS, DigitalOcean или OpenStack.",85000.0,85000.0
"Знание <highlighttext>Python</highlighttext>. Понимание ООП. Знание CI/CD. Умение работать с чужим кодом. Работа с СУБД (MySql, PostgreSql, SqLite, Redis, RocksDB). ","Разработка библиотек. Разработка микросервисов. Разработка приложений для анализа и сбора данных. Поддерживать и улучшать имеющиеся системы, писать новые.",120000.0,120000.0
"<highlighttext>Python</highlighttext> 3.9-3.11 (в идеале от 1,5 лет опыта). Django 3.2-4.2. DRF. Celery. SQLAlchemy. ","Написание кода по всем действующим backend продуктам. Поддержание существующего функционала (REST API для приложений, бизнес логика для бэк-офиса, панель...",150000.0,180000.0
"Для этого мы ищем начинающего, сообразительного, шустрого, амбициозного интерна-джуна питониста. Опыт в коммерческой разработке не требуется – важнее навык быстро...",Писать тесты. Писать фичи. Писать фронт. Диплоить проекты. И всем даём ответ ;).,20000.0,40000.0
"Приветствуется опыт с MS Access и языком VBA, знание языков программирования (<highlighttext>Python</highlighttext> и др.), знание статистического анализа и методов прогнозирования...","Аналитическая поддержка деятельности департамента, подготовка аналитических отчетов, прогнозов по запросу руководства департамента в сфере анализа авиационного рынка, операционных и финансовых...",169000.0,169000.0
"Подтвержденным опытом ручного тестирования, включая опыт тестирования API. Умением писать понятную, подробную и эффективную техническую документацию. С опытом использования Figma...","Проводить ручное тестирование веб- и мобильных приложений, включая тестирование API, чтобы обеспечить высокое качество создаваемых продуктов. Анализировать требования и создавать...",1500.0,2000.0
Умение писать Unit-тесты. Желательно: Опыт работы с Kafka. Опыт работы с ClickHouse. Опыт работы с cloud-сервисами. Знание <highlighttext>Python</highlighttext>...,Создавать надежные сервисы на Go. Развивать и рефакторить существующие микросервисы. Проектировать архитектуру и API приложений. Обеспечивать интеграцию с внешними сервисами...,70000.0,70000.0
"Опыт работы с NoSQL (Redis, AeroSpike). Базовое знание любого языка (в идеале <highlighttext>Python</highlighttext>). Опыт работы с командной строкой Linux. ","Ведение необходимой и достаточной тестовой документации (чек-листы, описание проверок, найденные дефекты). Взаимодействие с IT отделом для проектирования, запуска, обслуживания...",170000.0,170000.0
"Знание <highlighttext>Python</highlighttext>3. - Опыт работы с библиотекой FastAPI. - Опыт работы с Api различных сервисов (Понимание какие бывают запросы (post, get...","Руководство June <highlighttext>Python</highlighttext> разработчиков (обучим и покажем, как ставить задачи). Главный результат работы <highlighttext>Python</highlighttext> developer : бесперебойная работа сервиса и интеграция...",55000.0,65000.0
Experience in <highlighttext>Python</highlighttext> Production development. Experience in large-scale systems development. Fluent Russian (meeting with Russian dev team). Written english. ,"Build and maintain back-end. Write tests using Pytest and other libraries. Write clean, maintainable, and well-documented code. ",270000.0,320000.0
Знание SQL. Опыт проектирования БД от 1 года. Опыт работы с какой либо СУБД (желательно PostgreSQL). Навыки алгоритмизации. ,Анализ задач и проектирование под них БД. Разработка бизнес логики под требования компании (имеется собственная платформа). Внедрение и поддержка новых...,90000.0,90000.0
"Уверенное знание Linux, опыт работы в командной строке. Опыт программирования и знание <highlighttext>Python</highlighttext>. Опыт работы с фреймворками для автоматизации тестирования...","Описывать ошибки в bug tracking-системах (используем Gitlab). Разрабатывать автотесты (используем <highlighttext>Python</highlighttext>, Pytest/Robot Framework, seleniumLibrary). Поддерживать инфраструктуру для тестирования...",140000.0,170000.0
Опыт нагрузочного тестирования. Опыт написания скриптов в Postman. Знание языка программирования - <highlighttext>Python</highlighttext> и фреймворка Pytest/Playwright. Высшее профессиональное техническое образование.,Тестирование эксплуатационной и технической документации. Разработка плана тестирования. Создание и поддержание в актуальном состоянии тестовой документации и артефактов. ,120000.0,120000.0
"Знаете <highlighttext>Python</highlighttext> 3 и очень хорошо в нём ориентируетесь, много работали с асинхронностью и различными библиотеками. Знаете SQL и работали...","Проектировать, разрабатывать и развивать распределённые отказоустойчивые бэкенд-системы: дорабатывать существующие микросервисы и создавать новые. Писать читаемый поддерживаемый код и помогать...",400000.0,400000.0
"Аналитический склад ума, ответственность, уверенная работа с цифрами и таблицами. Базовое знание <highlighttext>Python</highlighttext>. Практический опыт работы с <highlighttext>Python</highlighttext> - Ваше преимущество!","Разработка, оптимизация и рефакторинг бэкенда (<highlighttext>Python</highlighttext>, FastAPI, Docker), внедрение хранилищ данных (PostgreSQL, Redis). No-code решения (складывание ботов из блоков...",35000.0,70000.0
Уверенные знания <highlighttext>python</highlighttext>3.6 (желателен опыт коммерческой разработки от 2 лет). Опыт работы с Flask/Django. Опыт работы с...,Участие в разработке бэкенда облачного сервиса.,200000.0,200000.0
Законченной алгоритмической части. Не весь список программной части для управления системой увлажнения готов.,"Часть модулей уже переписана на <highlighttext>Python</highlighttext>, возможно осталось что-то на microPython. - Управление BLDC мотором насоса с помощью покупного драйвера...",200000.0,200000.0
"Хорошее знание фреймворков FastAPI. Хорошее знание SQL. Понимание принципов ООП (SOLID, DRY, KISS). Уверенный уровень владения Git и командной строки. ",Разработка программного обеспечения с использованием языка программирования <highlighttext>Python</highlighttext>. Поддержка и улучшение существующего программного обеспечения. Написание и запуск тестов для проверки...,200000.0,200000.0
"Законченное высшее техническое образование. Грамотность, умение анализировать и структурировать информацию. Коммуникабельность, внимательность. Знание английского языка на уровне чтения документации.","Собирать и анализировать бизнес-требования. Заниматься постановкой технических задач. Составлять проектную, техническую и пользовательскую документацию. Синхронизировать статус команды и заказчика...",70000.0,70000.0
Хорошее знание <highlighttext>python</highlighttext> (в т.ч. async). Умение работать с реляционными БД (postgresql). Умение работать с redis. Базовые знания по...,Хорошее знание <highlighttext>python</highlighttext> (в т.ч. async). Умение работать с реляционными БД (postgresql). Умение работать с redis. Базовые знания по...,50000.0,80000.0
"Знание <highlighttext>Python</highlighttext> и JavaScript, опыт работы с библиотеками для обработки текста (TensorFlow, PyTorch, spaCy, NLTK, Hugging Face Transformers). ",Разработка и внедрение системы для анализа текстовых данных и персонализации объектов по уникальным характеристикам. Разработка сервиса для сбора и согласования...,150000.0,150000.0
ЧТО ТАКОЕ EL В ЦИФРАХ? 7 лет создаем аномалии в рынке школьного образования. Опыт работы в области анализа данных от...,"...целей и задач бизнеса. Разработаны интерактивные дашборды и отчеты. Владение <highlighttext>Python</highlighttext> для анализа данных, разработки ETL-скриптов и автоматизации задач. ",150000.0,150000.0
"Опыт работы с Linux системами. Навыки программирования Java/<highlighttext>Python</highlighttext> (frameworks: Behave/PyTest). Чтение кода (понимание) ruby, C#, vue. ","Ручное тестирование ПО. Создание, поддержка и прохождение тест-кейсов. Обработка поступающих обращений с типом дефект, ошибка, баг. Заведение или актуализация...",70000.0,70000.0
Работа с виртуализацией и сетевыми технологиями (TCP/IP). - Знание <highlighttext>Python</highlighttext> 3. - Flask/FastAPI. - Docker. - TCP/IP. - Основы ООП (SOLID). - ,"Разработка и поддержка веб-приложений на <highlighttext>Python</highlighttext>. - Работа с фреймворками Django, Flask/FastAPI. - Взаимодействие с базами данных через SQLAlchemy. - ",80000.0,100000.0
Опыт работы DevOps инженером от 3 лет. Глубокие знания Docker и Kubernetes. Навыки настройки CI/CD процессов. Опыт работы с...,"...файловых систем, RAID, мониторинг ресурсов; написание скриптов на bash или <highlighttext>Python</highlighttext> для автоматизации задач. Работа с микросервисной архитектурой, развертывание и...",1000.0,2000.0
"Пользователь: Excel (Google Sheets), Google Analytics (или UA / Яндекс Метрика), 1С. Как преимущество: SQL, <highlighttext>Python</highlighttext>, Big Query. ","Определение потребности заказчиков, структурирование их запросов. Создание, поддержание и развитие аналитической отчетности каналов продаж (Розница, Еком, Маркетплейсы, Опт). ",150000.0,150000.0
"...позиции middle разработчик <highlighttext>Python</highlighttext> от 3 лет. Глубокое понимание структур данных, алгоритмов и объектно-ориентированного программирования на <highlighttext>Python</highlighttext>. ","...позиции middle разработчик <highlighttext>Python</highlighttext> от 3 лет. Глубокое понимание структур данных, алгоритмов и объектно-ориентированного программирования на <highlighttext>Python</highlighttext>. ",150000.0,150000.0
"Знание React/Next.js и TypeScript. Уверенное владение JS (ES5, ES6). Опыт работы с git. Знание и опыт CSS...",Участие в новом startup проекте по разработке SaaS системы автоматизации управления предприятием для промышленности. Задачи по разработке нагруженных систем. ,80000.0,80000.0
"Опыт работы с <highlighttext>Python</highlighttext> от 2 лет. Опыт работы с фреймворками, такими как Django, FastApi. Опыт работы как с реляционными...",Разработка высококачественного программного обеспечения на <highlighttext>Python</highlighttext>. Участие в проектировании архитектуры приложений и выборе технологических решений. Оптимизация и поддержка существующего кода. ,350000.0,350000.0
"В основном проект - чистый JS, немного на vue.js. Сборка осуществляется через gulp. Дизайн: Figma. Общее понимание <highlighttext>Python</highlighttext> Django (основной стек...","Верстка страниц для WEB-сайта по макету Figma. Адаптивная верстка для PC, Tablet, Mobile. Доработка админки Django под задачи организации.",120000.0,120000.0
"Образование в профильной или смежной области. Знание <highlighttext>Python</highlighttext> (в особенности pandas), Google Sheets, Google Colab, GitHub, API. Будет круто, если...","Выгружать, обрабатывать и структурировать данные из различных источников. Разрабатывать системы автоматизации и мониторинга бизнес-процессов агентства. Искать и устранять баги...",30000.0,40000.0
Опыт разработки на <highlighttext>Python</highlighttext> от 3 лет. - Docker Compose. - Gitlab CI. - Опыт написания юнит-тестов. - Опыт работы с большими данными. ,"Разработка новой функциональности для бизнес-задач. Поддержка, развитие, оптимизации текущей функциональности. Участие в разработке общепроектных инструментов и пакетов. - OpenStack.",200000.0,200000.0
"Cтек веб-технологий (Nginx, Apache, php-fpm). — Cредства виртуализации (Systemd-nspawn, OpenVZ, KVM). — Мониторинг, опыт работы с Zabbix или Prometheus. — ","Мы, Southbridge, работаем с 2007 года. Строим и поддерживаем ИТ-инфраструктуру средне и высоконагруженных проектов, более 1000 серверов на поддержке. ",200000.0,200000.0
Знание <highlighttext>Python</highlighttext>. Понимание работы TG ботов.,Поддержка существующих проектов. Разработка ТГ ботов и микросервисов.,30000.0,50000.0
"Желательно наличие опыта работы с текстовыми данными. Знание языков программирования и фреймворков: <highlighttext>Python</highlighttext>, PyTorch/TensorFlow, Hugging Face Transformers, LangChain/LlamaIndex.",Разработка пайплайнов для предобработки текстов. Реализация логики разделения документов на смысловые части. Создание систем фильтрации и очистки данных. ,400000.0,400000.0
SQL (Postgres и Clickhouse). — AirFlow. Как мы видим ваши знания и опыт:,"В портфеле компании: мобильные приложения, CRM-система, web, блок аналитики и еще несколько прикольных штуковин. Основные задачи: ​​​​​​​— проектирование и разработка...",120000.0,120000.0
"...3х лет. Технический английский. Опыт работы с CI (gitlab-ci). Опыт работы с selenium, <highlighttext>python</highlighttext>. Опыт работы с Docker.","Проведение e2e, функционального, регрессивного тестирования web-приложений (frontend). Создание, запуск и мониторинг автотестов, участие в ревью. ",214000.0,214000.0
Знание React JS. Опыт работы над ETL процессами. Опыт проектирования и разработки HighLoad-приложений.,"Проектирование архитектуры и участие в design review. Организовывать эффективный процесс работы команды в соответствии с лучшими практиками (код-ревью, CI...",300000.0,300000.0
Глубокое знание <highlighttext>Python</highlighttext> и опыт в асинхронном программировании. - Уверенное владение инструментами для создания RESTful API с использованием <highlighttext>Python</highlighttext>. - ,"Разработка и поддержка серверной части веб-приложений с использованием <highlighttext>Python</highlighttext>, включая создание и оптимизацию асинхронных функций для повышения производительности (asyncio...",35000.0,50000.0
"Знания С# и SQL. Опыт разработки микросервисной архитектуры. Знания ASP.Net, EF Core, PostgreSQL, REST API. Опыт работы с Git/GitLab. ","Будущий проект — это проектирование и разработка системы диагностики и мониторинга энергетического оборудования. Стек: C# ASP.Net, PostgreSQL, Docker, Microservices. ",280000.0,280000.0
Коммерческий опыт ручного и автоматического тестирования от 3х лет. Опыт автоматизации на <highlighttext>Python</highlighttext> от 2х лет. ,"Документирование и отслеживание ошибок. Создание чек-листов тестирования, подробных тестовых сценариев. Проведение регрессионного, функционального, интеграционного тестирования. Написание автотестов.",280000.0,280000.0
...об основах компьютерных сетей. Дополнительные преимущества: - опыт работы с виртуальными машинами. - желательно основы работы в linux. - желательно основы программирования <highlighttext>python</highlighttext>.,проверять соответствие ПО с разработанной документацией и техническим заданием на ПО. - регистрировать выявленные неточности или улучшения в ПО. - ,45000.0,45000.0
"Опыт работы инженером мониторинга или системным инженером. Знание Linux на уровне системного администратора. Хорошие знания Zabbix: создание собственных шаблонов, использование...","Настраивать правила, метрики, триггеры для сбора данных, настраивать дашборды. Писать скрипты для мониторинга на <highlighttext>Python</highlighttext> - желательно. Участвовать в разборе сложных...",150000.0,150000.0
1) 1.5+ год опыта работы в качестве бэкенд-разработчика (<highlighttext>Python</highlighttext>). 2) Опыт в разработке чат-ботов на aiogram...,"1) Разработка различных чат-ботов как для внутренних нужд компаний, так и для внешних. 2) Разработка веб-приложений в телеграмме. ",80000.0,150000.0
"Уверенное понимание различных видов торговых стратегий. Опыт торговли на криптовалютных биржах. <highlighttext>Python</highlighttext> (уверенное знание pandas, numpy, BeautifulSoup). SQL (опыт работы...","Парсинг готовых торговых идей, находящихся в открытом доступе. Формирование скриптов бэктестинга (<highlighttext>python</highlighttext>, vector-bt) для найденной. Торговой логики, поиск оптимальных...",70000.0,100000.0
"Знание <highlighttext>Python</highlighttext>/Django, MySQL, HTML/CSS, JavaScript, Bootstrap. Базовые знания GIT. Опыт коммерческой разработки с примерами.",Сборка сайтов по ТЗ на Django. Поддержка текущих клиентов и их сайтов на Django. Разработка приложений на <highlighttext>Python</highlighttext>.,50000.0,90000.0
Разработка продвинутых AI систем. Необходим опыт:,Сложные системы эффектов и частиц. Мультиплеер на Blueprints. Программирование сервера на <highlighttext>Python</highlighttext>. Оптимизация сетевого кода под нагрузкой. Продвинутая работа с...,100000.0,100000.0
...обработки сигналов для прикладных задач обработки изображений. Владение языком программирования <highlighttext>Python</highlighttext>. Опыт работы с основными библиотеками и фреймворками машинного обучения. ,Разработка и реализация алгоритмов математической обработки и анализа изображений. Разработка функциональных узлов и программных модулей систем технического зрения. ,110000.0,110000.0
Инициативность в поиске решения задач. Опыт разработки на языке <highlighttext>Python</highlighttext> с фреймворком Django. Понимание принципов ООП и SOLID. ,Написание backend части веб-сервисов на языке <highlighttext>Python</highlighttext> для коммерческих проектов. Развертывание веб-приложений на сервере.,40000.0,80000.0
"Опыт настройки автотестов на языках, таких как <highlighttext>Python</highlighttext>, Java или JavaScript. Навыки работы с инструментами автоматизации, например, Selenium, Appium, и...",Настройка и улучшение процессов тестирования:,80000.0,80000.0
"Базовые знания о LLM и принципах их работы. Опыт программирования на <highlighttext>Python</highlighttext> от 1 года (numpy, scipy, pandas). ",Создавать и улучшать запросы (promt) к GPT моделям. Настраивать отчеты в BI системе. Тестировать и проверять качество работы модели. ,50000.0,50000.0
"Опыт написания скриптов на Bash, <highlighttext>Python</highlighttext> и Gotemplate. Опыт автоматизации развертывания инфраструктуры с использованием таких инструментов, как Ansible, Terraform или...",Проектирование и архитектура сервисов для B2C и B2B приложений. Обеспечение отказоустойчивости сервисов в среде Digital Ocean. ,600000.0,600000.0
"Знание инструментов аналитики мобильных приложений не обязательно, но будет плюсом. Умение работать с <highlighttext>Python</highlighttext> (Pandas, NumPy, Matplotlib), SQL, Microsoft Excel...","Очищать, организовывать и анализировать большие объемы данных с использованием <highlighttext>Python</highlighttext>, SQL и Excel. Проводить исследовательский анализ данных (EDA) для выявления...",25000.0,25000.0
Опыт коммерческой разработки Back-end на <highlighttext>Python</highlighttext> от 1-го года. Знание фреймворка FastAPI. Знание принципов построения REST API. ,"Созданием новых сервисов и улучшение существующего backend приложения на <highlighttext>Python</highlighttext>. Участвовать в анализе, проектировании и оценке технических решений вместе с...",160000.0,160000.0
"От вас потребуется самостоятельность при изучении, инициативность в работе и хорошее знание математики. Необходимые навыки: <highlighttext>Python</highlighttext>. Опыт с асинхронными очередями...","От вас потребуется самостоятельность при изучении, инициативность в работе и хорошее знание математики. Необходимые навыки: <highlighttext>Python</highlighttext>. Опыт с асинхронными очередями...",120000.0,180000.0
"Разметка баз данных/ работа с датасетами; Создание нейросетей, обучение; Применение метрик для оценки обучения; <highlighttext>Python</highlighttext> и библиотеки (Keras, Tensorflow, pytorch...","Ищем специалиста по AI (нейронным сетям/deep learning) для реализации различных проектов связанных с классификацией пользователей, кластеризацией, предикцией, машинным зрением...",30000.0,40000.0
Опыт работы в аналогичной должности от 2х лет. Технический бекграунд в качестве <highlighttext>Python</highlighttext> или JS разработчика (обязательно). ,Участие в разработке и реализация IT-стратегии компании. Управление несколькими продуктами в стадии реализации. Оперативное управление командой технических специалистов – разработчики...,500000.0,500000.0
Понимание принципов работы с GitHub. Плюсом будет знание <highlighttext>Python</highlighttext> и Django. Навыки анализа и поддержки чужого кода. Желание развиваться и...,"Оптимизация и поддержка работы нашего онлайн-портала, устранение багов для стабильной работы. Разработка нового функционала, усовершенствование существующего — улучшай опыт пользователей...",100000.0,100000.0
Уверенное владение SQL для работы с базами данных. Владение языком программирования <highlighttext>Python</highlighttext>. Владение NumPy для численных вычислений. Владение Pandas для...,Разрабатывать и оптимизировать модели машинного обучения для персонализации клиентских офферов. Собирать и обрабатывать данные о клиентах. Прогнозировать предпочтения клиентов для...,45000.0,45000.0
